transcript_id	gene_id	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
transcript14862	HORVU.RGT_PLANET.PROJ.2HG00719530	0.00	0.00	0.00	0.00	0.00	0.00
transcript14865	HORVU.RGT_PLANET.PROJ.2HG00719540	0.00	0.00	0.00	0.00	0.00	0.00
transcript14871	HORVU.RGT_PLANET.PROJ.2HG00719550	0.00	0.00	0.00	0.00	0.00	0.00
transcript14876	HORVU.RGT_PLANET.PROJ.2HG00719560	0.00	0.00	0.00	0.00	0.00	0.00
transcript14882	HORVU.RGT_PLANET.PROJ.2HG00719570	0.00	0.00	0.00	0.00	0.00	0.00
transcript14888	HORVU.RGT_PLANET.PROJ.2HG00719580	0.00	0.00	0.00	0.00	0.00	0.00
transcript14891	HORVU.RGT_PLANET.PROJ.2HG00719590	0.00	0.00	0.00	0.00	0.00	0.00
transcript14892	HORVU.RGT_PLANET.PROJ.2HG00719600	0.00	0.00	0.00	0.00	0.00	0.00
transcript14894	HORVU.RGT_PLANET.PROJ.2HG00719610	0.00	0.00	0.00	0.00	0.00	0.00
transcript14895	HORVU.RGT_PLANET.PROJ.2HG00719620	0.00	0.00	0.00	0.00	0.00	0.00
transcript14905	HORVU.RGT_PLANET.PROJ.2HG00719630	0.00	0.00	0.00	0.00	0.00	0.00
transcript14929	HORVU.RGT_PLANET.PROJ.2HG00719650	0.00	0.00	0.00	0.00	0.00	0.00
transcript14938	HORVU.RGT_PLANET.PROJ.2HG00719660	0.00	0.00	0.00	0.00	0.00	0.00
transcript14941	HORVU.RGT_PLANET.PROJ.2HG00719670	0.00	0.00	0.00	0.00	0.00	0.00
transcript14942	HORVU.RGT_PLANET.PROJ.2HG00719680	0.00	0.00	0.00	0.00	0.00	0.00
transcript14952	HORVU.RGT_PLANET.PROJ.2HG00719690	0.00	0.00	0.00	0.00	0.00	0.00
transcript14963	HORVU.RGT_PLANET.PROJ.2HG00719700	0.00	0.00	0.00	0.00	0.00	0.00
transcript14964	HORVU.RGT_PLANET.PROJ.2HG00719710	0.00	0.00	0.00	0.00	0.00	0.00
transcript14970	HORVU.RGT_PLANET.PROJ.2HG00719720	0.00	0.00	0.00	0.00	0.00	0.00
transcript14971	HORVU.RGT_PLANET.PROJ.2HG00719730	0.00	0.00	0.00	0.00	0.00	0.00
transcript14993	HORVU.RGT_PLANET.PROJ.2HG00719740	0.00	0.00	0.00	0.00	0.00	0.00
transcript14997	HORVU.RGT_PLANET.PROJ.2HG00719750	0.00	0.00	0.00	0.00	0.00	0.00
transcript15004	HORVU.RGT_PLANET.PROJ.2HG00719760	0.00	0.00	0.00	0.00	0.00	0.00
transcript15005	HORVU.RGT_PLANET.PROJ.2HG00719770	0.00	0.00	0.00	0.00	0.00	0.00
transcript15015	HORVU.RGT_PLANET.PROJ.2HG00719780	0.00	0.00	0.00	0.00	0.00	0.00
transcript15018	HORVU.RGT_PLANET.PROJ.2HG00719790	0.00	0.00	0.00	0.00	0.00	0.00
transcript15022	HORVU.RGT_PLANET.PROJ.2HG00719800	0.00	0.00	0.00	0.00	0.00	0.00
transcript15026	HORVU.RGT_PLANET.PROJ.2HG00719810	0.00	0.00	0.00	0.00	0.00	0.00
transcript15032	HORVU.RGT_PLANET.PROJ.2HG00719820	0.00	0.00	0.00	0.00	0.00	0.00
transcript15033	HORVU.RGT_PLANET.PROJ.2HG00719830	0.00	0.00	0.00	0.00	0.00	0.00
transcript15034	HORVU.RGT_PLANET.PROJ.2HG00719840	0.00	0.00	0.00	0.00	0.00	0.00
transcript15045	HORVU.RGT_PLANET.PROJ.2HG00719850	0.00	0.00	0.00	0.00	0.00	0.00
transcript15046	HORVU.RGT_PLANET.PROJ.2HG00719860	0.00	0.00	0.00	0.00	0.00	0.00
transcript15047	HORVU.RGT_PLANET.PROJ.2HG00719870	0.00	0.00	0.00	0.00	0.00	0.00
transcript15052	HORVU.RGT_PLANET.PROJ.2HG00719880	0.00	0.00	0.00	0.00	0.00	0.00
transcript15053	HORVU.RGT_PLANET.PROJ.2HG00719890	0.00	0.00	0.00	0.00	0.00	0.00
transcript15059	HORVU.RGT_PLANET.PROJ.2HG00719900	0.00	0.00	0.00	0.00	0.00	0.00
transcript15070	HORVU.RGT_PLANET.PROJ.2HG00719910	0.00	0.00	0.00	0.00	0.00	0.00
transcript15101	HORVU.RGT_PLANET.PROJ.2HG00719920	0.00	0.00	0.00	0.00	0.00	0.00
transcript15105	HORVU.RGT_PLANET.PROJ.2HG00719930	0.00	0.00	0.00	0.00	0.00	0.00
transcript15106	HORVU.RGT_PLANET.PROJ.2HG00719940	0.00	0.00	0.00	0.00	0.00	0.09
transcript15107	HORVU.RGT_PLANET.PROJ.2HG00719950	0.00	0.00	0.00	0.00	0.00	0.00
transcript15108	HORVU.RGT_PLANET.PROJ.2HG00719960	0.00	0.00	0.00	0.00	0.00	0.00
transcript15113	HORVU.RGT_PLANET.PROJ.2HG00719970	0.00	0.00	0.00	0.00	0.00	0.00
transcript15115	HORVU.RGT_PLANET.PROJ.2HG00719980	0.00	0.00	0.00	0.00	0.00	0.00
transcript15125	HORVU.RGT_PLANET.PROJ.2HG00719990	0.00	0.00	0.00	0.00	0.00	0.00
transcript15136	HORVU.RGT_PLANET.PROJ.2HG00720000	0.00	0.00	0.00	0.00	0.00	0.00
transcript15143	HORVU.RGT_PLANET.PROJ.2HG00720010	0.00	0.00	0.00	0.00	0.00	0.00
transcript15153	HORVU.RGT_PLANET.PROJ.2HG00720020	0.00	0.00	0.00	0.00	0.00	0.00
transcript15157	HORVU.RGT_PLANET.PROJ.2HG00720030	0.00	0.00	0.00	0.00	0.00	0.00
transcript15167	HORVU.RGT_PLANET.PROJ.2HG00720040	0.00	0.00	0.00	0.00	0.00	0.00
transcript15171	HORVU.RGT_PLANET.PROJ.2HG00720050	0.03	0.00	0.00	0.03	0.00	0.03
transcript15182	HORVU.RGT_PLANET.PROJ.2HG00720060	0.00	0.00	0.00	0.00	0.00	0.00
transcript15183	HORVU.RGT_PLANET.PROJ.2HG00720070	0.00	0.00	0.00	0.00	0.00	0.00
transcript15191	HORVU.RGT_PLANET.PROJ.2HG00720080	0.06	0.00	0.11	0.00	0.00	0.21
transcript15200	HORVU.RGT_PLANET.PROJ.2HG00720090	0.00	0.00	0.00	0.00	0.00	0.00
transcript15204	HORVU.RGT_PLANET.PROJ.2HG00720100	0.00	0.00	0.00	0.00	0.00	0.00
transcript15211	HORVU.RGT_PLANET.PROJ.2HG00720110	0.00	0.00	0.00	0.00	0.00	0.00
transcript15212	HORVU.RGT_PLANET.PROJ.2HG00720120	0.00	0.00	0.00	0.00	0.00	0.00
transcript15232	HORVU.RGT_PLANET.PROJ.2HG00720140	0.00	0.00	0.00	0.00	0.00	0.00
transcript15236	HORVU.RGT_PLANET.PROJ.2HG00720150	0.00	0.00	0.00	0.00	0.00	0.00
transcript15238	HORVU.RGT_PLANET.PROJ.2HG00720160	0.00	0.00	0.00	0.00	0.00	0.00
transcript15244	HORVU.RGT_PLANET.PROJ.2HG00720170	0.00	0.00	0.00	0.00	0.00	0.00
transcript15248	HORVU.RGT_PLANET.PROJ.2HG00720180	0.00	0.00	0.00	0.00	0.00	0.01
transcript15258	HORVU.RGT_PLANET.PROJ.2HG00720190	0.00	0.00	0.00	0.00	0.00	0.00
transcript15271	HORVU.RGT_PLANET.PROJ.2HG00720200	0.00	0.00	0.00	0.00	0.00	0.00
transcript15273	HORVU.RGT_PLANET.PROJ.2HG00720210	0.00	0.00	0.00	0.00	0.00	0.00
transcript15292	HORVU.RGT_PLANET.PROJ.2HG00720220	0.13	0.00	0.00	0.00	0.00	0.00
transcript15294	HORVU.RGT_PLANET.PROJ.2HG00720230	0.00	0.00	0.00	0.00	0.00	0.00
transcript15295	HORVU.RGT_PLANET.PROJ.2HG00720240	0.00	0.00	0.00	0.00	0.00	0.00
transcript15300	HORVU.RGT_PLANET.PROJ.2HG00720260	0.00	0.00	0.00	0.00	0.00	0.00
transcript15303	HORVU.RGT_PLANET.PROJ.2HG00720270	0.00	0.00	0.00	0.00	0.00	0.00
transcript15306	HORVU.RGT_PLANET.PROJ.2HG00720280	0.10	0.00	0.10	0.00	0.20	0.00
transcript15310	HORVU.RGT_PLANET.PROJ.2HG00720290	0.00	0.00	0.00	0.00	0.00	0.00
transcript15324	HORVU.RGT_PLANET.PROJ.2HG00720310	0.00	0.00	0.00	0.00	0.00	0.00
transcript15330	HORVU.RGT_PLANET.PROJ.2HG00720320	0.03	0.00	0.00	0.00	0.00	0.00
transcript15332	HORVU.RGT_PLANET.PROJ.2HG00720330	0.29	0.66	1.31	0.14	0.15	0.00
transcript15340	HORVU.RGT_PLANET.PROJ.2HG00720340	0.00	0.00	0.00	0.00	0.00	0.00
transcript15341	HORVU.RGT_PLANET.PROJ.2HG00720350	0.00	0.00	0.00	0.00	0.00	0.00
transcript15342	HORVU.RGT_PLANET.PROJ.2HG00720360	0.56	0.00	0.21	0.20	0.14	0.20
transcript15343	HORVU.RGT_PLANET.PROJ.2HG00720370	1.02	1.98	1.75	1.38	1.61	3.42
transcript15346	HORVU.RGT_PLANET.PROJ.2HG00720380	0.00	0.00	0.00	0.00	0.08	0.00
transcript15347	HORVU.RGT_PLANET.PROJ.2HG00720390	0.00	0.00	0.00	0.00	0.00	0.00
transcript15349	HORVU.RGT_PLANET.PROJ.2HG00720400	0.00	0.00	0.00	0.00	0.00	0.00
transcript15350	HORVU.RGT_PLANET.PROJ.2HG00720410	0.00	0.00	0.00	0.00	0.00	0.00
transcript15351	HORVU.RGT_PLANET.PROJ.2HG00720420	0.00	0.00	0.00	0.00	0.00	0.00
transcript15352	HORVU.RGT_PLANET.PROJ.2HG00720430	0.00	0.00	0.00	0.00	0.00	0.00
transcript15356	HORVU.RGT_PLANET.PROJ.2HG00720440	0.00	0.00	0.00	0.00	0.00	0.00
transcript15357	HORVU.RGT_PLANET.PROJ.2HG00720450	0.00	0.00	0.00	0.00	0.00	0.00
transcript15358	HORVU.RGT_PLANET.PROJ.2HG00720460	0.00	0.00	0.00	0.00	0.00	0.00
transcript15361	HORVU.RGT_PLANET.PROJ.2HG00720470	0.00	0.00	0.00	0.00	0.00	0.00
transcript15363	HORVU.RGT_PLANET.PROJ.2HG00720480	0.00	0.00	0.00	0.00	0.00	0.00
transcript15364	HORVU.RGT_PLANET.PROJ.2HG00720490	0.00	0.00	0.00	0.00	0.00	0.00
transcript15365	HORVU.RGT_PLANET.PROJ.2HG00720500	0.00	0.00	0.00	0.00	0.00	0.00
transcript15367	HORVU.RGT_PLANET.PROJ.2HG00720510	0.00	0.00	0.00	0.00	0.00	0.00
transcript15371	HORVU.RGT_PLANET.PROJ.2HG00720520	0.00	0.00	0.00	0.00	0.00	0.00
transcript15372	HORVU.RGT_PLANET.PROJ.2HG00720530	0.00	0.00	0.00	0.00	0.00	0.00
transcript15374	HORVU.RGT_PLANET.PROJ.2HG00720540	0.00	0.00	0.00	0.00	0.00	0.00
transcript15376	HORVU.RGT_PLANET.PROJ.2HG00720550	0.00	0.00	0.00	0.00	0.00	0.00
transcript15378	HORVU.RGT_PLANET.PROJ.2HG00720560	0.00	0.00	0.00	0.00	0.00	0.00
transcript15379	HORVU.RGT_PLANET.PROJ.2HG00720570	0.00	0.00	0.00	0.00	0.00	0.00
transcript15380	HORVU.RGT_PLANET.PROJ.2HG00720580	0.00	0.00	0.00	0.00	0.00	0.00
transcript15387	HORVU.RGT_PLANET.PROJ.2HG00720590	0.00	0.00	0.00	0.00	0.00	0.00
transcript15400	HORVU.RGT_PLANET.PROJ.2HG00720600	0.00	0.00	0.00	0.00	0.00	0.00
transcript15403	HORVU.RGT_PLANET.PROJ.2HG00720610	0.00	0.00	0.00	0.00	0.00	0.00
transcript15416	HORVU.RGT_PLANET.PROJ.2HG00720620	0.00	0.00	0.00	0.00	0.00	0.00
transcript15417	HORVU.RGT_PLANET.PROJ.2HG00720630	0.00	0.00	0.00	0.00	0.00	0.00
transcript15418	HORVU.RGT_PLANET.PROJ.2HG00720640	0.00	0.00	0.00	0.00	0.00	0.00
transcript15423	HORVU.RGT_PLANET.PROJ.2HG00720650	0.00	0.00	0.00	0.00	0.00	0.00
transcript15426	HORVU.RGT_PLANET.PROJ.2HG00720660	0.00	0.00	0.00	0.00	0.00	0.26
transcript15437	HORVU.RGT_PLANET.PROJ.2HG00720670	0.00	0.00	0.00	0.00	0.00	0.00
transcript15439	HORVU.RGT_PLANET.PROJ.2HG00720680	0.00	0.00	0.00	0.00	0.00	0.00
transcript15441	HORVU.RGT_PLANET.PROJ.2HG00720690	0.00	0.00	0.00	0.00	0.00	0.00
transcript15442	HORVU.RGT_PLANET.PROJ.2HG00720700	0.00	0.00	0.00	0.00	0.00	0.00
transcript15444	HORVU.RGT_PLANET.PROJ.2HG00720710	0.00	0.00	0.00	0.00	0.00	0.00
transcript15461	HORVU.RGT_PLANET.PROJ.2HG00720730	0.00	0.00	0.00	0.00	0.00	0.00
transcript15468	HORVU.RGT_PLANET.PROJ.2HG00720740	0.00	0.00	0.00	0.07	0.04	0.07
transcript15469	HORVU.RGT_PLANET.PROJ.2HG00720750	0.04	0.00	0.06	0.00	0.02	0.12
transcript15470	HORVU.RGT_PLANET.PROJ.2HG00720760	0.00	0.00	0.00	0.09	0.00	0.13
transcript15471	HORVU.RGT_PLANET.PROJ.2HG00720770	0.00	0.01	0.00	0.08	0.10	0.00
transcript15472	HORVU.RGT_PLANET.PROJ.2HG00720780	0.27	0.01	0.10	0.08	0.10	0.00
transcript15474	HORVU.RGT_PLANET.PROJ.2HG00720790	0.00	0.00	0.00	0.00	0.00	0.00
transcript15484	HORVU.RGT_PLANET.PROJ.2HG00720800	0.00	0.00	0.00	0.00	0.00	0.00
transcript15485	HORVU.RGT_PLANET.PROJ.2HG00720810	0.00	0.00	0.00	0.00	0.00	0.00
transcript15486	HORVU.RGT_PLANET.PROJ.2HG00720820	0.00	0.00	0.00	0.00	0.00	0.00
transcript15487	HORVU.RGT_PLANET.PROJ.2HG00720830	0.00	0.00	0.00	0.00	0.00	0.00
transcript15491	HORVU.RGT_PLANET.PROJ.2HG00720840	0.05	0.00	0.03	0.00	0.00	0.00
transcript15494	HORVU.RGT_PLANET.PROJ.2HG00720850	0.00	0.00	0.00	0.00	0.10	0.00
transcript15497	HORVU.RGT_PLANET.PROJ.2HG00720860	0.00	0.00	0.00	0.00	0.00	0.00
transcript15504	HORVU.RGT_PLANET.PROJ.2HG00720870	0.00	0.00	0.00	0.00	0.00	0.00
transcript15519	HORVU.RGT_PLANET.PROJ.2HG00720880	0.00	0.00	0.00	0.00	0.00	0.00
transcript15521	HORVU.RGT_PLANET.PROJ.2HG00720890	0.00	0.00	0.00	0.00	0.00	0.00
transcript15531	HORVU.RGT_PLANET.PROJ.2HG00720900	0.00	0.00	0.00	0.00	0.00	0.00
transcript15543	HORVU.RGT_PLANET.PROJ.2HG00720910	0.00	0.00	0.00	0.00	0.00	0.00
transcript15544	HORVU.RGT_PLANET.PROJ.2HG00720920	0.00	0.00	0.00	0.00	0.00	0.00
transcript15556	HORVU.RGT_PLANET.PROJ.2HG00720940	0.00	0.00	0.00	0.00	0.00	0.00
transcript15559	HORVU.RGT_PLANET.PROJ.2HG00720950	0.00	0.00	0.00	0.00	0.00	0.01
transcript15561	HORVU.RGT_PLANET.PROJ.2HG00720960	0.00	0.00	0.00	0.00	0.00	0.00
transcript15567	HORVU.RGT_PLANET.PROJ.2HG00720970	0.00	0.00	0.00	0.00	0.00	0.00
transcript15568	HORVU.RGT_PLANET.PROJ.2HG00720980	0.00	0.00	0.00	0.00	0.00	0.00
transcript15610	HORVU.RGT_PLANET.PROJ.2HG00720990	0.00	0.00	0.00	0.00	0.00	0.00
transcript15614	HORVU.RGT_PLANET.PROJ.2HG00721000	0.00	0.00	0.00	0.00	0.00	0.00
transcript15615	HORVU.RGT_PLANET.PROJ.2HG00721010	0.00	0.00	0.00	0.00	0.00	0.00
transcript15616	HORVU.RGT_PLANET.PROJ.2HG00721020	0.00	0.00	0.00	0.00	0.00	0.00
transcript15625	HORVU.RGT_PLANET.PROJ.2HG00721040	0.00	0.00	0.00	0.32	0.00	0.00
transcript15630	HORVU.RGT_PLANET.PROJ.2HG00721050	0.00	0.00	0.00	0.00	0.00	0.00
transcript15636	HORVU.RGT_PLANET.PROJ.2HG00721060	0.00	0.00	0.00	0.00	0.00	0.00
transcript15649	HORVU.RGT_PLANET.PROJ.2HG00721070	0.00	0.00	0.00	0.00	0.00	0.00
transcript15651	HORVU.RGT_PLANET.PROJ.2HG00721080	0.00	0.00	0.00	0.00	0.00	0.00
transcript15655	HORVU.RGT_PLANET.PROJ.2HG00721090	15.44	10.70	10.92	10.63	4.77	4.25
transcript15662	HORVU.RGT_PLANET.PROJ.2HG00721100	0.00	0.00	0.00	0.00	0.00	0.00
transcript15663	HORVU.RGT_PLANET.PROJ.2HG00721110	0.00	0.00	0.00	0.00	0.00	0.00
transcript15684	HORVU.RGT_PLANET.PROJ.2HG00721120	0.00	0.00	0.00	0.00	0.00	0.00
transcript15685	HORVU.RGT_PLANET.PROJ.2HG00721130	0.00	0.00	0.00	0.00	0.00	0.00
transcript15686	HORVU.RGT_PLANET.PROJ.2HG00721140	0.00	0.00	0.00	0.00	0.00	0.00
transcript15689	HORVU.RGT_PLANET.PROJ.2HG00721150	0.00	0.00	0.00	0.00	0.00	0.00
transcript15697	HORVU.RGT_PLANET.PROJ.2HG00721160	0.00	0.00	0.00	0.00	0.00	0.00
transcript15700	HORVU.RGT_PLANET.PROJ.2HG00721170	0.00	0.00	0.00	0.00	0.00	0.00
transcript15711	HORVU.RGT_PLANET.PROJ.2HG00721190	11.37	14.99	13.98	0.93	0.56	1.91
transcript15712	HORVU.RGT_PLANET.PROJ.2HG00721200	0.98	0.86	1.13	0.50	0.22	0.44
transcript15719	HORVU.RGT_PLANET.PROJ.2HG00721210	2.09	1.07	3.25	0.79	0.94	1.53
transcript15721	HORVU.RGT_PLANET.PROJ.2HG00721220	0.01	0.00	0.00	0.00	0.00	0.01
transcript15722	HORVU.RGT_PLANET.PROJ.2HG00721230	0.00	0.00	0.00	0.00	0.00	0.00
transcript15734	HORVU.RGT_PLANET.PROJ.2HG00721240	0.00	0.00	0.00	0.00	0.00	0.00
transcript15735	HORVU.RGT_PLANET.PROJ.2HG00721250	0.00	0.00	0.00	0.00	0.00	0.00
transcript15737	HORVU.RGT_PLANET.PROJ.2HG00721260	0.00	0.00	2.89	14.76	10.08	8.04
transcript15740	HORVU.RGT_PLANET.PROJ.2HG00721270	0.00	0.00	0.00	0.00	0.00	0.00
transcript15749	HORVU.RGT_PLANET.PROJ.2HG00721280	0.00	0.00	0.00	0.00	0.00	0.00
transcript15755	HORVU.RGT_PLANET.PROJ.2HG00721290	0.00	0.00	0.00	0.00	0.00	0.00
transcript15761	HORVU.RGT_PLANET.PROJ.2HG00721300	0.00	0.00	0.00	0.00	0.00	0.00
transcript15762	HORVU.RGT_PLANET.PROJ.2HG00721310	0.00	0.00	0.00	0.00	0.00	0.00
transcript15770	HORVU.RGT_PLANET.PROJ.2HG00721320	0.00	0.00	0.00	0.00	0.00	0.00
transcript15781	HORVU.RGT_PLANET.PROJ.2HG00721330	0.00	0.00	0.00	0.00	0.00	0.00
transcript15782	HORVU.RGT_PLANET.PROJ.2HG00721340	0.00	0.00	0.00	0.00	0.00	0.00
transcript15783	HORVU.RGT_PLANET.PROJ.2HG00721350	0.00	0.00	0.00	0.00	0.00	0.00
transcript15785	HORVU.RGT_PLANET.PROJ.2HG00721360	0.00	0.00	0.00	0.00	0.00	0.00
transcript15788	HORVU.RGT_PLANET.PROJ.2HG00721370	0.00	0.00	0.00	0.00	0.00	0.00
transcript15809	HORVU.RGT_PLANET.PROJ.2HG00721380	0.00	0.00	0.00	0.00	0.00	0.00
transcript15831	HORVU.RGT_PLANET.PROJ.2HG00721390	0.00	0.00	0.00	0.00	0.00	0.00
transcript15832	HORVU.RGT_PLANET.PROJ.2HG00721400	0.00	0.00	0.00	0.00	0.00	0.00
transcript15842	HORVU.RGT_PLANET.PROJ.2HG00721410	0.00	0.00	0.00	0.00	0.00	0.00
transcript15843	HORVU.RGT_PLANET.PROJ.2HG00721420	0.00	0.00	0.00	0.00	0.00	0.00
transcript15846	HORVU.RGT_PLANET.PROJ.2HG00721430	0.00	0.00	0.00	0.00	0.00	0.00
transcript15847	HORVU.RGT_PLANET.PROJ.2HG00721440	0.00	0.00	0.00	0.00	0.00	0.00
transcript15852	HORVU.RGT_PLANET.PROJ.2HG00721450	0.00	0.00	0.00	0.00	0.00	0.00
transcript15865	HORVU.RGT_PLANET.PROJ.2HG00721460	0.00	0.00	0.00	0.00	0.00	0.00
transcript15866	HORVU.RGT_PLANET.PROJ.2HG00721470	0.00	0.00	0.00	0.00	0.00	0.00
transcript15877	HORVU.RGT_PLANET.PROJ.2HG00721480	0.00	0.00	0.00	0.00	0.00	0.00
transcript15884	HORVU.RGT_PLANET.PROJ.2HG00721490	0.00	0.00	0.00	0.00	0.00	0.00
transcript15885	HORVU.RGT_PLANET.PROJ.2HG00721500	0.00	0.00	0.00	0.00	0.00	0.00
transcript15898	HORVU.RGT_PLANET.PROJ.2HG00721510	0.00	0.00	0.05	0.00	0.00	0.00
transcript15905	HORVU.RGT_PLANET.PROJ.2HG00721520	0.00	0.00	0.00	0.00	0.00	0.00
transcript15907	HORVU.RGT_PLANET.PROJ.2HG00721530	0.00	0.00	0.00	0.00	0.00	0.00
transcript15910	HORVU.RGT_PLANET.PROJ.2HG00721540	0.00	0.00	0.00	0.00	0.00	0.00
transcript15914	HORVU.RGT_PLANET.PROJ.2HG00721550	0.00	0.00	0.00	0.00	0.00	0.00
transcript15917	HORVU.RGT_PLANET.PROJ.2HG00721560	0.00	0.00	0.00	0.00	0.00	0.00
transcript15931	HORVU.RGT_PLANET.PROJ.2HG00721570	0.00	0.00	0.00	0.00	0.00	0.00
transcript15935	HORVU.RGT_PLANET.PROJ.2HG00721580	0.00	0.00	0.00	0.00	0.00	0.00
transcript15937	HORVU.RGT_PLANET.PROJ.2HG00721590	0.00	0.00	0.00	0.00	0.00	0.00
transcript15938	HORVU.RGT_PLANET.PROJ.2HG00721600	0.00	0.00	0.00	0.00	0.00	0.00
transcript15949	HORVU.RGT_PLANET.PROJ.2HG00721620	0.00	0.00	0.00	0.00	0.00	0.00
transcript15951	HORVU.RGT_PLANET.PROJ.2HG00721630	0.00	0.00	0.00	0.00	0.00	0.00
transcript15954	HORVU.RGT_PLANET.PROJ.2HG00721640	0.00	0.00	0.00	0.00	0.00	0.00
transcript15957	HORVU.RGT_PLANET.PROJ.2HG00721650	0.00	0.00	0.00	0.00	0.00	0.00
transcript15965	HORVU.RGT_PLANET.PROJ.2HG00721660	0.00	0.00	0.00	0.00	0.00	0.00
transcript15966	HORVU.RGT_PLANET.PROJ.2HG00721670	0.00	0.00	0.00	0.00	0.00	0.00
transcript15971	HORVU.RGT_PLANET.PROJ.2HG00721680	0.00	0.00	0.00	0.00	0.00	0.00
transcript15972	HORVU.RGT_PLANET.PROJ.2HG00721690	0.00	0.00	0.00	0.00	0.00	0.00
transcript15974	HORVU.RGT_PLANET.PROJ.2HG00721700	0.00	0.00	0.00	0.00	0.00	0.00
transcript15975	HORVU.RGT_PLANET.PROJ.2HG00721710	0.00	0.00	0.00	0.00	0.00	0.00
transcript15977	HORVU.RGT_PLANET.PROJ.2HG00721720	0.00	0.00	0.00	0.00	0.00	0.00
transcript15978	HORVU.RGT_PLANET.PROJ.2HG00721730	0.00	0.00	0.00	0.00	0.00	0.00
transcript15996	HORVU.RGT_PLANET.PROJ.2HG00721740	0.00	0.00	0.00	0.00	0.00	0.00
transcript15998	HORVU.RGT_PLANET.PROJ.2HG00721750	0.00	0.00	0.00	0.00	0.00	0.00
transcript15999	HORVU.RGT_PLANET.PROJ.2HG00721760	0.00	0.00	0.00	0.00	0.00	0.00
transcript16011	HORVU.RGT_PLANET.PROJ.2HG00721780	0.00	0.00	0.00	0.00	0.00	0.00
transcript16012	HORVU.RGT_PLANET.PROJ.2HG00721790	0.00	0.00	0.00	0.00	0.00	0.00
transcript16015	HORVU.RGT_PLANET.PROJ.2HG00721800	0.00	0.00	0.00	0.00	0.00	0.00
transcript16029	HORVU.RGT_PLANET.PROJ.2HG00721810	0.00	0.00	0.00	0.00	0.00	0.00
transcript16030	HORVU.RGT_PLANET.PROJ.2HG00721820	0.00	0.00	0.00	0.00	0.00	0.00
transcript16042	HORVU.RGT_PLANET.PROJ.2HG00721830	0.00	0.00	0.00	0.00	0.00	0.00
transcript16047	HORVU.RGT_PLANET.PROJ.2HG00721840	0.00	0.00	0.00	0.00	0.00	0.00
transcript16052	HORVU.RGT_PLANET.PROJ.2HG00721850	0.00	0.00	0.00	0.00	0.00	0.00
transcript16071	HORVU.RGT_PLANET.PROJ.2HG00721890	0.00	0.00	0.00	0.00	0.00	0.00
transcript16090	HORVU.RGT_PLANET.PROJ.2HG00721940	0.02	0.00	0.00	0.00	0.02	0.02
transcript16091	HORVU.RGT_PLANET.PROJ.2HG00721950	0.00	0.00	0.00	0.00	0.00	0.00
transcript16127	HORVU.RGT_PLANET.PROJ.2HG00721990	0.00	0.00	0.00	0.00	0.00	0.00
transcript16131	HORVU.RGT_PLANET.PROJ.2HG00722010	0.00	0.00	0.00	0.00	0.00	0.00
transcript16133	HORVU.RGT_PLANET.PROJ.2HG00722020	0.00	0.00	0.00	0.00	0.00	0.00
transcript16134	HORVU.RGT_PLANET.PROJ.2HG00722030	0.00	0.00	0.00	0.00	0.00	0.00
transcript16137	HORVU.RGT_PLANET.PROJ.2HG00722040	0.00	0.00	0.00	0.00	0.00	0.00
transcript16145	HORVU.RGT_PLANET.PROJ.2HG00722050	0.00	0.00	0.00	0.00	0.00	0.00
transcript16190	HORVU.RGT_PLANET.PROJ.2HG00722060	0.00	0.00	0.00	0.00	0.00	0.00
transcript16204	HORVU.RGT_PLANET.PROJ.2HG00722070	0.00	0.00	0.00	0.00	0.00	0.00
transcript16230	HORVU.RGT_PLANET.PROJ.2HG00722090	0.00	0.00	0.00	0.00	0.04	0.00
transcript16246	HORVU.RGT_PLANET.PROJ.2HG00722100	0.00	0.00	0.00	0.00	0.00	0.00
transcript16265	HORVU.RGT_PLANET.PROJ.2HG00722120	0.00	0.00	0.00	0.00	0.00	0.00
transcript16268	HORVU.RGT_PLANET.PROJ.2HG00722130	0.00	0.00	0.00	0.00	0.00	0.00
transcript16275	HORVU.RGT_PLANET.PROJ.2HG00722150	11.49	10.24	7.04	1.85	2.15	2.44
transcript16279	HORVU.RGT_PLANET.PROJ.2HG00722160	0.00	0.00	0.00	0.00	0.00	0.00
transcript16280	HORVU.RGT_PLANET.PROJ.2HG00722170	0.00	0.00	0.00	0.00	0.00	0.00
transcript16284	HORVU.RGT_PLANET.PROJ.2HG00722180	0.00	0.00	0.00	0.00	0.00	0.00
transcript16285	HORVU.RGT_PLANET.PROJ.2HG00722190	0.15	0.00	0.05	0.00	0.02	0.00
transcript16286	HORVU.RGT_PLANET.PROJ.2HG00722200	0.00	0.00	0.00	0.00	0.00	0.00
transcript16291	HORVU.RGT_PLANET.PROJ.2HG00722210	0.00	0.00	0.00	0.00	0.00	0.00
transcript16298	HORVU.RGT_PLANET.PROJ.2HG00722220	0.00	0.00	0.00	0.00	0.00	0.00
transcript16300	HORVU.RGT_PLANET.PROJ.2HG00722230	0.00	0.00	0.00	0.00	0.00	0.00
transcript16303	HORVU.RGT_PLANET.PROJ.2HG00722240	0.02	0.00	0.00	0.02	0.00	0.00
transcript16304	HORVU.RGT_PLANET.PROJ.2HG00722250	0.00	0.00	0.00	0.00	0.00	0.00
